"id","exchange_id","rate_close","rate_high","rate_low","rate_open","time_close","time_open","time_period_end","time_period_start"
85841,"BTC","27069.406079628","27080.430462033","27055.996036109","27055.996036109","2023-05-20 19:59:00+00","2023-05-20 19:30:00+00","2023-05-20 20:00:00+00","2023-05-20 19:30:00+00"
85842,"BTC","27049.767035115","27085.364019961","27049.767035115","27073.508377175","2023-05-20 20:29:00+00","2023-05-20 20:00:00+00","2023-05-20 20:30:00+00","2023-05-20 20:00:00+00"
85843,"BTC","27017.540582336","27063.825323882","27016.321548268","27044.168011777","2023-05-20 20:59:00+00","2023-05-20 20:30:00+00","2023-05-20 21:00:00+00","2023-05-20 20:30:00+00"
85844,"BTC","27046.605276108","27048.008899502","26977.193278150","27021.617328479","2023-05-20 21:29:00+00","2023-05-20 21:00:00+00","2023-05-20 21:30:00+00","2023-05-20 21:00:00+00"
85845,"BTC","27043.184382366","27054.218130631","27013.014610840","27045.338753120","2023-05-20 21:59:00+00","2023-05-20 21:30:00+00","2023-05-20 22:00:00+00","2023-05-20 21:30:00+00"
85846,"BTC","27046.407491293","27051.229814831","27021.655230530","27043.352332704","2023-05-20 22:29:00+00","2023-05-20 22:00:00+00","2023-05-20 22:30:00+00","2023-05-20 22:00:00+00"
85847,"BTC","27075.953120420","27076.087559105","27046.769314229","27046.769314229","2023-05-20 22:59:00+00","2023-05-20 22:30:00+00","2023-05-20 23:00:00+00","2023-05-20 22:30:00+00"
85848,"BTC","27074.277167551","27080.399587845","27059.266473754","27076.616545857","2023-05-20 23:29:00+00","2023-05-20 23:00:00+00","2023-05-20 23:30:00+00","2023-05-20 23:00:00+00"
85849,"BTC","27123.948966586","27135.679350678","27073.731612845","27073.731612845","2023-05-20 23:59:00+00","2023-05-20 23:30:00+00","2023-05-21 00:00:00+00","2023-05-20 23:30:00+00"
86282,"BTC","27090.577276154","27114.793614194","27072.292019514","27113.357455658","2023-05-21 00:29:00+00","2023-05-21 00:00:00+00","2023-05-21 00:30:00+00","2023-05-21 00:00:00+00"
86283,"BTC","27271.448259953","27271.448259953","27090.613005902","27090.613005902","2023-05-21 00:59:00+00","2023-05-21 00:30:00+00","2023-05-21 01:00:00+00","2023-05-21 00:30:00+00"
86284,"BTC","27200.507226939","27251.036420972","27200.507226939","27251.036420972","2023-05-21 01:29:00+00","2023-05-21 01:00:00+00","2023-05-21 01:30:00+00","2023-05-21 01:00:00+00"
86285,"BTC","27163.840056429","27212.258883976","27163.840056429","27201.439646593","2023-05-21 01:59:00+00","2023-05-21 01:30:00+00","2023-05-21 02:00:00+00","2023-05-21 01:30:00+00"
86286,"BTC","27169.470454056","27194.087791373","27158.937133450","27169.887093848","2023-05-21 02:29:00+00","2023-05-21 02:00:00+00","2023-05-21 02:30:00+00","2023-05-21 02:00:00+00"
86287,"BTC","27179.384982792","27182.468454750","27166.121760711","27168.551398381","2023-05-21 02:59:00+00","2023-05-21 02:30:00+00","2023-05-21 03:00:00+00","2023-05-21 02:30:00+00"
86288,"BTC","27186.200674314","27187.297421273","27168.141861722","27180.621060193","2023-05-21 03:29:00+00","2023-05-21 03:00:00+00","2023-05-21 03:30:00+00","2023-05-21 03:00:00+00"
86289,"BTC","27187.772927748","27199.238995991","27177.927066415","27186.201184036","2023-05-21 03:59:00+00","2023-05-21 03:30:00+00","2023-05-21 04:00:00+00","2023-05-21 03:30:00+00"
86290,"BTC","27175.842412289","27186.608603833","27168.841493780","27186.608603833","2023-05-21 04:29:00+00","2023-05-21 04:00:00+00","2023-05-21 04:30:00+00","2023-05-21 04:00:00+00"
86291,"BTC","27149.278219973","27182.124358089","27149.278219973","27176.312050684","2023-05-21 04:59:00+00","2023-05-21 04:30:00+00","2023-05-21 05:00:00+00","2023-05-21 04:30:00+00"
86292,"BTC","27117.447379395","27149.327677836","27106.568304488","27139.628761131","2023-05-21 05:29:00+00","2023-05-21 05:00:00+00","2023-05-21 05:30:00+00","2023-05-21 05:00:00+00"
86293,"BTC","27106.916670384","27128.806830711","27106.916670384","27118.038720694","2023-05-21 05:59:00+00","2023-05-21 05:30:00+00","2023-05-21 06:00:00+00","2023-05-21 05:30:00+00"
86294,"BTC","27099.026197532","27110.353153317","27089.030139265","27106.186741915","2023-05-21 06:29:00+00","2023-05-21 06:00:00+00","2023-05-21 06:30:00+00","2023-05-21 06:00:00+00"
86295,"BTC","27093.705020906","27101.879680143","27080.487216569","27099.518278412","2023-05-21 06:59:00+00","2023-05-21 06:30:00+00","2023-05-21 07:00:00+00","2023-05-21 06:30:00+00"
86296,"BTC","27072.152181326","27093.157944480","27067.923179183","27093.157944480","2023-05-21 07:29:00+00","2023-05-21 07:00:00+00","2023-05-21 07:30:00+00","2023-05-21 07:00:00+00"
86297,"BTC","27066.167547587","27082.898477920","27060.443518362","27072.228003270","2023-05-21 07:59:00+00","2023-05-21 07:30:00+00","2023-05-21 08:00:00+00","2023-05-21 07:30:00+00"
86298,"BTC","27060.468026008","27078.624846687","27037.406569350","27066.625655388","2023-05-21 08:29:00+00","2023-05-21 08:00:00+00","2023-05-21 08:30:00+00","2023-05-21 08:00:00+00"
86299,"BTC","27053.000080327","27067.381866014","27051.529393731","27066.169646352","2023-05-21 08:59:00+00","2023-05-21 08:30:00+00","2023-05-21 09:00:00+00","2023-05-21 08:30:00+00"
86300,"BTC","27070.598713553","27084.923511358","27039.409533786","27052.582996118","2023-05-21 09:29:00+00","2023-05-21 09:00:00+00","2023-05-21 09:30:00+00","2023-05-21 09:00:00+00"
86301,"BTC","27084.213119873","27085.800241219","27053.954020791","27062.893183039","2023-05-21 09:59:00+00","2023-05-21 09:30:00+00","2023-05-21 10:00:00+00","2023-05-21 09:30:00+00"
86302,"BTC","27067.677943844","27092.636073107","27063.012148090","27086.396018340","2023-05-21 10:29:00+00","2023-05-21 10:00:00+00","2023-05-21 10:30:00+00","2023-05-21 10:00:00+00"
86303,"BTC","26955.799270083","27073.550019081","26924.461110515","27067.682018044","2023-05-21 10:59:00+00","2023-05-21 10:30:00+00","2023-05-21 11:00:00+00","2023-05-21 10:30:00+00"
86304,"BTC","26895.769493236","26962.179538922","26867.835663321","26962.179538922","2023-05-21 11:29:00+00","2023-05-21 11:00:00+00","2023-05-21 11:30:00+00","2023-05-21 11:00:00+00"
86305,"BTC","26836.019431907","26926.964642746","26818.072426910","26903.874152918","2023-05-21 11:59:00+00","2023-05-21 11:30:00+00","2023-05-21 12:00:00+00","2023-05-21 11:30:00+00"
86306,"BTC","26859.389139403","26862.968238891","26821.257421276","26839.340977892","2023-05-21 12:29:00+00","2023-05-21 12:00:00+00","2023-05-21 12:30:00+00","2023-05-21 12:00:00+00"
86307,"BTC","26950.354732217","26950.354732217","26857.128300387","26857.128300387","2023-05-21 12:59:00+00","2023-05-21 12:30:00+00","2023-05-21 13:00:00+00","2023-05-21 12:30:00+00"
86308,"BTC","26930.362305154","26945.567660629","26922.001848033","26940.576501827","2023-05-21 13:29:00+00","2023-05-21 13:00:00+00","2023-05-21 13:30:00+00","2023-05-21 13:00:00+00"
86309,"BTC","26903.671148383","26939.103223971","26903.671148383","26939.103223971","2023-05-21 13:59:00+00","2023-05-21 13:30:00+00","2023-05-21 14:00:00+00","2023-05-21 13:30:00+00"
86310,"BTC","26969.301679285","26978.822208864","26900.905284685","26900.905284685","2023-05-21 14:29:00+00","2023-05-21 14:00:00+00","2023-05-21 14:30:00+00","2023-05-21 14:00:00+00"
86311,"BTC","26910.598086219","26981.154649392","26910.598086219","26960.977628955","2023-05-21 14:59:00+00","2023-05-21 14:30:00+00","2023-05-21 15:00:00+00","2023-05-21 14:30:00+00"
86312,"BTC","26957.380078792","26982.104094902","26908.520891741","26908.520891741","2023-05-21 15:29:00+00","2023-05-21 15:00:00+00","2023-05-21 15:30:00+00","2023-05-21 15:00:00+00"
86313,"BTC","26903.233571409","26957.471812309","26837.884035085","26957.471812309","2023-05-21 15:59:00+00","2023-05-21 15:30:00+00","2023-05-21 16:00:00+00","2023-05-21 15:30:00+00"
86314,"BTC","26893.716424811","26925.829090395","26878.691998739","26909.933685023","2023-05-21 16:29:00+00","2023-05-21 16:00:00+00","2023-05-21 16:30:00+00","2023-05-21 16:00:00+00"
86315,"BTC","26903.032534029","26918.808796941","26873.411961112","26888.839516695","2023-05-21 16:59:00+00","2023-05-21 16:30:00+00","2023-05-21 17:00:00+00","2023-05-21 16:30:00+00"
86316,"BTC","26883.898294626","26936.825259309","26883.316865367","26899.183962214","2023-05-21 17:29:00+00","2023-05-21 17:00:00+00","2023-05-21 17:30:00+00","2023-05-21 17:00:00+00"
86317,"BTC","26888.279813970","26902.595131420","26856.288401534","26889.692056396","2023-05-21 17:59:00+00","2023-05-21 17:30:00+00","2023-05-21 18:00:00+00","2023-05-21 17:30:00+00"
